Recipe ID,Ingredients,Title,Cuisine,preparation_time,difficulty_level,rating
7803,"cilantro , garlic , jalapeno , lime , onion , pepper , tomato ",Caliente Christmas Salsa,Mexico,8,easy,4
7869,"baking powder , baking soda , cherry , coconut , egg , flour , milk , nutmeg , pineapple , rum , salt , sugar , vegetable oil ",Christmas in The Islands Bread,Caribbean,45,hard,4
8171,"apricot , butter , carrot , champagne , garlic , olive , onion , raisin , rice , salt , tomato , water ",Brazilian Christmas Rice,South America,18,medium,2
8310,"allspice , apple , cinnamon , clove , coffee , string  bean, tea , water ",Christmas Tea (Peruvian Style),South America,8,easy,2
8349,"almond , almond , baking powder , butter , cinnamon , egg , flour , salt , sugar , sugar , sugar ",Belgian Christmas Cookies,Misc.: Belgian,45,hard,1
9036,"bay leaf , celery , clam , fennel , garlic , leek , lobster , mussel , olive , parsley , pepper , saffron , scallop , snapper , thyme , tomato , wine white ",Ann's Christmas Eve Bouillabaisse,France,15,easy,4
9220,"butter , cherry , clove , egg , flour , mace , margarine , milk , nutmeg , raisin , salt , sugar , sugar , walnut , water , yeast ",Swiss Christmas Bread,DACH Countries,45,hard,2
9623,"baking powder , butter , cocoa powder , egg , flour , orange , orange , sugar , sugar , vanilla , vanilla , water ",Italian Christmas Cookies with Cocoa and Orange Liqueur,Italy,45,hard,3
9826,"anise , bread , butter , cinnamon , egg , egg , hazelnut , salt , sugar , sugar , yeast ",Italian Christmas Bread with Eggnog Glaze,Italy,45,hard,3
10935,"butter , cheese cream , cheese mozzarella , cheese parmesan , cheese ricotta , egg , egg , flour , milk , onion , onion , oregano , parsley , salt , salt , sauce  soybean, spinach , vegetable oil ",Christmas Eve Manicotti,Italy,45,hard,2
11887,"butter , flour , orange , orange , salt , shortening , sugar , sugar , vanilla ",Christmas Mince Pies,British Isles,13,easy,1
11936,"ale , almond , almond , apple , baking powder , bread , candied mixed fruit , carrot , cherry , currant , egg , ginger , lemon , plum , raisin , raisin , sugar , walnut , wheat ",Christmas Plum Pudding,British Isles,45,hard,1
11987,"allspice , apple , baking powder , baking soda , bread , butter , carrot , cinnamon , egg , flour , nutmeg , raisin , salt , sugar ",Apple and Carrot Christmas Pudding,British Isles,45,hard,3
12005,"almond , brandy , butter , cherry , cinnamon , currant , egg , flour , lemon , raisin , raisin , sugar ",English Christmas Cake,British Isles,45,hard,2
12064,"cabbage , salt , sugar , vinegar , water ",Danish Christmas Red Cabbage,British Isles,20,easy,4
12099,"baking soda , butter , butter , cinnamon , egg , flour , ginger , milk , molass , nutmeg , sugar , sugar , vanilla ",Christmas Ornament Cookies,British Isles,45,hard,2
12101,"bread , butter , cherry , cinnamon , currant , egg , marzipan , milk , salt , sugar , sugar , sultana , yeast ",Christmas Stollen,British Isles,45,hard,5
12111,"baking powder , butter , egg , flour , salt , strawberry jam , sugar , sugar , vanilla ",Christmas Stars,British Isles,45,hard,4
12120,"butter , cheese cream , cinnamon , cranberry , cream , egg , pie , pumpkin , self rising flour , sugar , sugar ",Steamed Christmas Pudding,British Isles,45,hard,2
12121,"bread white , cheese , cinnamon , clove , raisin , sugar , vanilla , walnut , water ",Christmas Bread Pudding,British Isles,18,easy,1
