Ingredient Name,Entity ID,Demand Score
Egg,0,13
Bread,2,95
Rye Bread,3,1
Wheaten Bread,4,18
White Bread,5,57
Wholewheat Bread,6,0
Wort,7,79
Arrack,8,84
Beer,9,19
Bantu Beer,10,98
Brandy,11,40
Anise Brandy,12,12
Apple Brandy,13,39
Armagnac Brandy,14,94
Blackberry Brandy,15,75
Cherry Brandy,16,61
Cognac Brandy,17,3
Papaya Brandy,18,18
Pear Brandy,19,1
Plum Brandy,20,36
Raspberry Brandy,21,24
Weinbrand Brandy,22,4
Gin,23,29
Rum,24,68
Whisky,25,42
Bourbon Whisky,26,22
Canadian Whisky,27,42
Finnish Whisky,28,99
Japanese Whisky,29,25
Malt Whisky,30,88
Scotch,31,17
Wine,32,6
Bilberry Wine,33,31
Botrytized Wine,34,55
Champagne,35,86
Cider,36,15
Plum Wine,37,94
Port Wine,38,51
Red Wine,39,24
Rose Wine,40,32
Sake,41,19
Sherry,42,44
Sparkling Wine,43,36
Strawberry Wine,44,37
White Wine,45,78
Coffee,46,38
Mate,47,19
Black Tea,48,55
Green Tea,49,91
Roibos Tea,50,66
Barley,51,0
Crispbread,52,52
Malt,53,40
Oats,54,89
Rice,55,5
Corn,56,69
Corn Oil,57,68
Popcorn,58,62
Sweetcorn,59,5
Butter,60,15
Buttermilk,61,40
Cheese,62,77
Blue Cheese,63,41
Camembert Cheese,64,38
Cheddar Cheese,65,97
Comte Cheese,66,19
Cottage Cheese,67,27
Cream Cheese,68,64
Domiati Cheese,69,88
Emmental Cheese,70,28
Feta Cheese,71,85
Goat Cheese,72,46
Gruyere Cheese,73,53
Limburger Cheese,74,81
Mozzarella Cheese,75,27
Munster Cheese,76,43
Parmesan Cheese,78,15
Provolone Cheese,79,75
Romano Cheese,80,87
Roquefort Cheese,81,92
Russian Cheese,82,54
Sheep Cheese,83,12
Swiss Cheese,84,60
Tilsit Cheese,85,73
Ghee,87,99
Milk,88,38
Milk Fat,89,84
Goat Milk,90,82
Milk Powder,91,4
Sheep Milk,92,40
Skimmed Milk,93,94
Yogurt,94,86
Achilleas,95,86
Arar,96,83
Buchu,97,47
Cajeput,98,25
Camphor,99,38
Cascarilla,100,77
Cedar,101,16
Chamomile,102,95
Citronella Oil,103,57
Citrus Peel Oil,104,63
Eucalyptus Oil,105,76
Fir,106,81
Geranium,107,51
Grapefruit Peel Oil,108,91
Grass,109,62
Hops Oil,110,50
Hyacinth,111,17
Hyssop Oil,112,88
Lemon Grass,113,35
Lemon Peel Oil,114,67
Lime Peel Oil,115,77
Lovage,116,61
Mandarin Orange Peel Oil,117,45
Mastic Gum,118,88
Mentha Oil,119,62
Myrrh,120,77
Neroli Oil,121,43
Orange Oil,122,75
Orris,123,79
Clary Sage,124,3
Red Sage,125,50
Spanish Sage,126,58
Sandalwood,127,13
Sea Buckthorns,128,67
Sweet Grass,129,58
Valerian,130,12
Wattle,131,16
Yarrow,132,96
Ylang-Ylang,133,60
Clam,134,19
Crab,135,89
Crayfish,136,39
Kelp,137,51
Krill,138,32
Lobster,139,68
Mollusc,140,28
Oyster,141,98
Prawn,142,6
Scallop,143,49
Shellfish,144,60
Shrimp,145,8
Trassi,146,56
Squid,147,35
Bonito,148,78
Caviar,149,61
Codfish,150,65
Fish,151,41
Fatty Fish,152,96
Lean Fish,153,62
Fish Oil,154,60
Smoked Fish,155,59
Salmon,156,16
Artichoke,157,6
Champaca,158,29
Jasmine,159,11
Lavendar,160,52
Rose,161,19
Apple,162,75
Apple Sauce,163,19
Apricot,164,18
Avocado,165,50
Babaco,166,43
Banana,167,21
Beli,168,42
Byrsonima crassifolia,169,44
Cashew Apple,170,52
Cherimoya,171,25
Coconut,172,1
Currant,173,60
Black Currant,174,32
Red Currant,175,87
White Currant,176,46
Dates,177,76
Durian,178,76
Elderberry,179,47
Feijoa,180,48
Fig,181,79
Grape,182,5
Guava,183,91
Hogplum,184,81
Jackfruit,185,73
Kiwifruit,186,12
Litchi,187,41
Loquat,188,22
Malay Apple,189,98
Mango,190,4
Melon,191,23
Musk Melon,192,5
Naranjilla,193,19
Orange,194,37
Bitter Orange,195,11
Papaya,196,55
Mountain Papaya,197,80
Passionfruit,198,35
Yellow Passionfruit,199,47
Pawpaw,200,8
Peach,201,83
Pear,202,2
Bartlett Pear,203,22
Prickly Pear,204,95
Pepino,205,86
Pineapple,206,45
Plum,207,25
Plumcot,208,92
Pumpkin,209,11
Quince,210,76
Chinese Quince,211,66
Raisin,212,70
Roseapple,213,90
Sapodilla,214,34
Soursop,215,51
Spineless Monkey Orange,216,43
Starfruit,217,18
Tamarind,218,41
Woodapple,219,93
Bilberry,221,33
Blackberry,222,30
Blueberry,223,38
Cherry,224,53
Bitter Cherry,225,95
Sour Cherry,226,78
Sweet Cherry,227,70
Cloudberry,228,48
Cranberry,229,20
Gooseberry,230,51
Lingonberry,231,1
Loganberry,232,37
Raspberry,233,20
Strawberry,234,8
Strawberry Jam,235,4
Bergamot,236,58
Citrus Fruits,237,74
Grapefruit,238,24
Kumquat,239,58
Lemon,240,30
Lime,241,22
Mandarin Orange,242,34
Satsuma Orange,243,6
Tangerine,244,16
Vanilla,245,41
Mushroom,246,43
Truffle,247,47
Angelica,248,66
Artemisia,249,35
Basil,250,64
Buckwheat,251,32
Calamus,252,87
Chervil,253,15
Coriander,254,29
Cornmint,255,30
Dill,256,31
Fennel,257,86
Fenugreek,258,64
Garlic,259,18
Lemon Balm,260,67
Liqourice,261,13
Mint,262,70
Rhubarb,263,96
Rosemary,264,25
Sage,265,5
Spearmint,266,36
Scotch Spearmint,267,80
Tarragon,268,95
Thyme,269,17
Beef,270,72
Beef Processed,271,41
Chicken,272,31
Frankfurter Sausage,273,1
Ham,274,40
Lamb,275,51
Meat,276,51
Mutton,277,1
Pork,278,87
Sukiyaki,279,62
Turkey,280,67
Almond,281,73
Brazil Nut,282,15
Cocoa,283,98
Beans,284,93
Lima Beans,285,0
Kidney Beans,286,29
Peanut,287,26
Peas,288,41
Soybean,289,63
Soybean Oil,290,47
Soybean Sauce,291,95
Filbert,292,18
Hazelnut,293,19
Macadamia Nut,294,62
Pecans,296,77
Walnut,297,88
Muskmallow,298,23
Sesame,299,0
Allium,300,37
Alpinia,301,35
Ceriman,302,51
Chicory,303,21
Hops,304,85
Laurel,305,10
Myrtle,306,6
Olive,307,84
Pine,308,7
Sassafras,309,2
Tea,310,74
Fermented Tea,311,11
Tobacco,312,60
Watercress,313,89
Creosote,314,81
Honey,315,3
Macaroni,316,39
Mustard Oil,317,84
Peanut Butter,318,44
Peanut Oil,319,14
Rye,320,30
Storax,321,30
Vinegar,322,93
Anise,323,31
Anise Hyssop,324,24
Star Anise,325,80
Caraway,326,77
Cardamom,327,26
Cassia,328,86
Celery,329,59
Cinnamon,330,50
Clove,331,47
Cumin,332,85
Ginger,333,19
Mace,334,51
Marjoram,335,53
Nutmeg,336,95
Oregano,337,7
Parsley,338,70
Pepper,339,33
Saffron,340,39
Turmeric,341,68
Green Beans,342,87
Chive,343,54
Endive,344,17
Leek,345,30
Lettuce,346,91
Okra,347,14
Onion,348,90
Shallot,349,41
Peppermint,350,74
Broccoli,351,79
Brussels Sprout,352,33
Cabbage,353,22
Cauliflower,354,33
Horseradish,355,25
Mustard,356,91
Radish,357,29
Turnip,358,50
Kohlrabi,359,39
Rutabaga,360,59
Wasabi,361,80
Capsicum,362,29
Cherry Pepper,363,9
Tomato,364,78
Chayote,365,68
Cucumber,366,10
Beetroot,367,88
Carrot,368,21
Parsnip,369,43
Sweet Potato,370,68
Asparagus,371,5
Cassava,372,71
Potato,373,3
Fried Potato,374,97
Allspice,375,63
Asafoetida,376,33
Ashgourd,377,52
